symbol,market,name,origin_name,origin_index,YahooPrice,YahooMarket,YahooPriceFile,GoogleDesc,GoogleDescFile
3003,TPE,K.S. Terminals Incorporated,3003,31697,YES,TW,price/TPE/3003.TW.csv,YES,desc/TPE/3003.txt
3003,TADAWUL,City Cement Co,3003,31697,No,,,YES,desc/TADAWUL/3003.txt
601808,SHA,China Oilfield Services Limited,601808,31703,YES,SS,price/SHA/601808.SS.csv,YES,desc/SHA/601808.txt
VOLC,NASDAQ,Volcano Corp,VOLC,31706,No,,,YES,desc/NASDAQ/VOLC.txt
ALPGG,EPA,Piscines Groupe GA SA,ALPGG,31710,No,,,YES,desc/EPA/ALPGG.txt
VGAS,LON,Volga Gas plc,VGAS,31723,YES,L,price/LON/VGAS.L.csv,YES,desc/LON/VGAS.txt
2175,TYO,"SMS CO.,LTD.",2175,31742,No,,,YES,desc/TYO/2175.txt
BEVER,AMS,NV Bever Holding,BEVER,31744,YES,AS,price/AMS/BEVER.AS.csv,YES,desc/AMS/BEVER.txt
TDU,ETR,trading-house.net AG,TDU,31750,YES,DE,price/ETR/TDU.DE.csv,YES,desc/ETR/TDU.txt
TDU,FRA,trading-house.net AG,TDU,31750,YES,F,price/FRA/TDU.F.csv,YES,desc/FRA/TDU.txt
BHIT,IDX,MNC Investama Tbk PT,BHIT,31754,No,,,YES,desc/IDX/BHIT.txt
SHN,NYSEARCA,Bank of America Corporation Market Index Target...,SHN,31760,No,,,No,
SHN,FRA,SHANGRI-LA ASIA HD 1,SHN,31760,YES,F,price/FRA/SHN.F.csv,No,
505827,BOM,SNL Bearings Ltd,505827,31761,No,,,YES,desc/BOM/505827.txt
B7E,ETR,Blue Cap AG,B7E,31762,YES,DE,price/ETR/B7E.DE.csv,YES,desc/ETR/B7E.txt
B7E,FRA,Blue Cap AG,B7E,31762,YES,F,price/FRA/B7E.F.csv,YES,desc/FRA/B7E.txt
300043,SHE,Rastar Group,300043,31763,YES,SZ,price/SHE/300043.SZ.csv,YES,desc/SHE/300043.txt
2337,HKG,Shanghai Forte Land Company Limited,2337,31766,YES,HK,price/HKG/2337.HK.csv,YES,desc/HKG/2337.txt
2337,TPE,"Macronix International Co., Ltd.",2337,31766,YES,TW,price/TPE/2337.TW.csv,YES,desc/TPE/2337.txt
2337,TYO,Ichigo Inc,2337,31766,No,,,YES,desc/TYO/2337.txt
526586,BOM,WIM Plast Ltd,526586,31768,No,,,YES,desc/BOM/526586.txt
