symbol,reason,origin_name,origin_index
PALTEL,Just not found,PALTEL,3915
BNCO,Just not found,BNCO,3917
flko,Just not found,flko,3928
QUDS,Just not found,QUDS,3931
65560,Just not found,65560,3937
1784,Just not found,1784,3943
GBR,Just not found,GBR,3947
INFT,Just not found,INFT,3948
BOUBYA,Just not found,BOUBYA,3950
SELA,Just not found,SELA,3953
FFHN,Just not found,FFHN,3956
4241,Just not found,4241,3957
K2IA,Just not found,K2IA,3975
ZAHI,Just not found,ZAHI,3977
ZREA,Just not found,ZREA,3978
90470,Just not found,90470,3989
2237,Just not found,2237,3996
4EJ,Just not found,4EJ,4004
Y34,Just not found,Y34,4012
JRCD,Just not found,JRCD,4020
MOBG,Just not found,MOBG,4042
ORTB,Just not found,ORTB,4044
85910,Just not found,85910,4054
MHPC,Just not found,MHPC,4059
95610,Just not found,95610,4068
JOPI,Just not found,JOPI,4075
8735,Just not found,8735,4091
3806,Just not found,3806,4092
8980,Just not found,8980,4101
SCORA,Just not found,SCORA,4110
SCOR A,Just not found,SCOR A,4111
0SD,Just not found,0SD,4113
34660,Just not found,34660,4117
0SF,Just not found,0SF,4120
OMXHPI,Just not found,OMXHPI,4122
SAFG,Just not found,SAFG,4123
AKVA,Just not found,AKVA,4124
4760,Just not found,4760,4126
47600,Just not found,47600,4129
0SN,Just not found,0SN,4139
4444,Just not found,4444,4141
44440,Just not found,44440,4142
4126,Just not found,4126,4155
SBRE,Just not found,SBRE,4171
SUNAG,Just not found,SUNAG,4172
LOMSKO,Just not found,LOMSKO,4203
6L1,Just not found,6L1,4205
BXPL,Just not found,BXPL,4208
39030,Just not found,39030,4211
18620,Just not found,18620,4219
2244,Just not found,2244,4220
TWRDA,Just not found,TWRDA,4227
20710,Just not found,20710,4239
0FIB,Just not found,0FIB,4243
XRO,Just not found,XRO,4246
30790,Just not found,30790,4249
5821,Just not found,5821,4273
LED,Just not found,LED,4275
ZAHZA,Just not found,ZAHZA,4277
3Z9,Just not found,3Z9,4278
U01,Just not found,U01,4283
B7N,Just not found,B7N,4290
LZW,Just not found,LZW,4297
88960,Just not found,88960,4311
AYRTN,Just not found,AYRTN,4312
WHLP,Just not found,WHLP,4316
CMWP,Just not found,CMWP,4317
RIVP,Just not found,RIVP,4318
3801,Just not found,3801,4323
3802,Just not found,3802,4330
2235,Just not found,2235,4339
8993,Just not found,8993,4353
NINFOE,Just not found,NINFOE,4355
INFOE,Just not found,INFOE,4356
SCDS,Just not found,SCDS,4358
CLUJ,Just not found,CLUJ,4359
BJFIN,Just not found,BJFIN,4371
NPEL,Just not found,NPEL,4379
W12,Just not found,W12,4385
CZAI,Just not found,CZAI,4389
2245,Just not found,2245,4394
2246,Just not found,2246,4396
ZKM,Just not found,ZKM,4397
ATLH,Just not found,ATLH,4401
2243,Just not found,2243,4405
2247,Just not found,2247,4406
YANSAB,Just not found,YANSAB,4408
PLSL,Just not found,PLSL,4411
PIRLIF,Just not found,PIRLIF,4412
67000,Just not found,67000,4423
2471,Just not found,2471,4435
3797,Just not found,3797,4448
HTVO,Just not found,HTVO,4452
HT/P,Just not found,HT/P,4453
6AR,Just not found,6AR,4456
BJAUT,Just not found,BJAUT,4461
96760,Just not found,96760,4466
LGN:GR,Just not found,LGN:GR,4480
98460,Just not found,98460,4486
6234,Just not found,6234,4517
MGCM,Just not found,MGCM,4519
UZIM,Just not found,UZIM,4524
ATGRRA,Just not found,ATGRRA,4525
ATGR-R,Just not found,ATGR-R,4526
HYPE3,Just not found,HYPE3,4527
EKTTIT,Just not found,EKTTIT,4530
BATBC,Just not found,BATBC,4534
64480,Just not found,64480,4535
TZEP,Just not found,TZEP,4539
tzep,Just not found,tzep,4540
HIHM,Just not found,HIHM,4548
GRSL,Just not found,GRSL,4550
NUNA:D,Just not found,NUNA:D,4552
SKOA,Just not found,SKOA,4589
2249,Just not found,2249,4601
2248,Just not found,2248,4612
F2X,Just not found,F2X,4619
F3EU,Just not found,F3EU,4621
CEIG,Just not found,CEIG,4628
1015Z,Just not found,1015Z,4633
HPOLB,Just not found,HPOLB,4655
LKHY,Just not found,LKHY,4674
COTR,Just not found,COTR,4683
ESFA2,Just not found,ESFA2,4685
9300,Just not found,9300,4689
TELINT,Just not found,TELINT,4703
KSB3,Just not found,KSB3,4714
111110,Just not found,111110,4724
1113,Just not found,1113,4725
112610,Just not found,112610,4726
TCII,Just not found,TCII,4727
IMSG,Just not found,IMSG,4728
115180,Just not found,115180,4729
115960,Just not found,115960,4730
INC1V,Just not found,INC1V,4767
45390,Just not found,45390,4771
26250,Just not found,26250,4777
BOAB,Just not found,BOAB,4783
MDSDA,Just not found,MDSDA,4787
9429,Just not found,9429,4791
3K6,Just not found,3K6,4793
1264,Just not found,1264,4813
NMC,Just not found,NMC,4835
GRKA,Just not found,GRKA,4838
MMAT,Just not found,MMAT,4844
ARHP,Just not found,ARHP,4847
FIPP.G,Just not found,FIPP.G,4850
99320,Just not found,99320,4884
EUCL,Just not found,EUCL,4886
13650,Just not found,13650,4927
SKVA,Just not found,SKVA,4983
ECL3,Just not found,ECL3,4986
ICIT,Just not found,ICIT,4993
41450,Just not found,41450,5027
OCNUS,Just not found,OCNUS,5032
CPCS,Just not found,CPCS,5048
FUM1V,Just not found,FUM1V,5058
0HAH,Just not found,0HAH,5059
ATXL,Just not found,ATXL,5060
0OF7,Just not found,0OF7,5070
41510,Just not found,41510,5109
156100,Just not found,156100,5134
EUXI,Just not found,EUXI,5167
ASUB,Just not found,ASUB,5186
54650,Just not found,54650,5192
ZAEN,Just not found,ZAEN,5199
SEZI,Just not found,SEZI,5201
SZRP,Just not found,SZRP,5261
METHAQ,Just not found,METHAQ,5272
LIODA,Just not found,LIODA,5274
23770,Just not found,23770,5279
AJMANB,Just not found,AJMANB,5285
BNBC,Just not found,BNBC,5301
PSLH,Just not found,PSLH,5305
PSLL,Just not found,PSLL,5306
600002,Just not found,600002,5316
8259,Just not found,8259,5345
9520,Just not found,9520,5380
PWTC,Just not found,PWTC,5399
PTCIN,Just not found,PTCIN,5400
1858,Just not found,1858,5426
ATCY,Just not found,ATCY,5444
NORK,Just not found,NORK,5450
90120,Just not found,90120,5480
MBCB,Just not found,MBCB,5483
41310,Just not found,41310,5490
199800,Just not found,199800,5546
8211,Just not found,8211,5548
BPFM:L,Just not found,BPFM:L,5557
66340,Just not found,66340,5563
KLMZ,Just not found,KLMZ,5578
klmz,Just not found,klmz,5579
16670,Just not found,16670,5601
FBUT,Just not found,FBUT,5610
MMN,Just not found,MMN,5612
AYN,Just not found,AYN,5613
CPRH,Just not found,CPRH,5614
ASTN,Just not found,ASTN,5615
ACO,Just not found,ACO,5616
102260,Just not found,102260,5618
ACIBD,Just not found,ACIBD,5628
81090,Just not found,81090,5658
TEA,Just not found,TEA,5679
93230,Just not found,93230,5683
COTP,Just not found,COTP,5696
TIGH,Just not found,TIGH,5697
INPN,Just not found,INPN,5698
7773,Just not found,7773,5699
AOEP,Just not found,AOEP,5739
UMTP,Just not found,UMTP,5740
RXB.GB,Just not found,RXB.GB,5743
PCIB,Just not found,PCIB,5760
4PY,Just not found,4PY,5772
CEW,Just not found,CEW,5802
CEW2,Just not found,CEW2,5804
CVEZ,Just not found,CVEZ,5841
CBDK,Just not found,CBDK,5847
EPH7,Just not found,EPH7,5858
F4I,Just not found,F4I,5868
DITV,Just not found,DITV,5872
96240,Just not found,96240,5889
1DR,Just not found,1DR,5930
COMK,Just not found,COMK,5934
WEVP,Just not found,WEVP,5935
DOTD.G,Just not found,DOTD.G,5939
GHIP,Just not found,GHIP,5968
FTLP,Just not found,FTLP,5969
1EG,Just not found,1EG,5981
1EI,Just not found,1EI,5985
1EM,Just not found,1EM,5992
BUX,Just not found,BUX,5993
SVMS,Just not found,SVMS,6000
1EP,Just not found,1EP,6002
PRT,Just not found,PRT,6008
1ER,Just not found,1ER,6011
PMMS,Just not found,PMMS,6020
1EX,Just not found,1EX,6025
ASX+,Just not found,ASX+,6027
EYSAN,Just not found,EYSAN,6028
6750,Just not found,6750,6042
AUEC,Just not found,AUEC,6052
564204,Just not found,564204,6053
FANDA,Just not found,FANDA,6063
VGMS,Just not found,VGMS,6072
UDMS,Just not found,UDMS,6083
81580,Just not found,81580,6096
FBCM,Just not found,FBCM,6125
U19,Just not found,U19,6129
39490,Just not found,39490,6161
GSO9,Just not found,GSO9,6171
KEDX,Just not found,KEDX,6175
COKG,Just not found,COKG,6189
CELTEL,Just not found,CELTEL,6190
SAFCOM,Just not found,SAFCOM,6192
HUCN,Just not found,HUCN,6231
SKBN,Just not found,SKBN,6232
HZT,Just not found,HZT,6233
2257,Just not found,2257,6236
47560,Just not found,47560,6249
HAI,Just not found,HAI,6256
HAI3,Just not found,HAI3,6257
52270,Just not found,52270,6266
EXAE,Just not found,EXAE,6278
H06,Just not found,H06,6287
HCEG,Just not found,HCEG,6291
HOBEE,Just not found,HOBEE,6297
H13,Just not found,H13,6299
63170,Just not found,63170,6307
CHWI,Just not found,CHWI,6311
UBEM,Just not found,UBEM,6320
ELNG,Just not found,ELNG,6325
6AG,Just not found,6AG,6331
U3OP,Just not found,U3OP,6332
GMRF,Just not found,GMRF,6333
CRONIM,Just not found,CRONIM,6337
MVLL,Just not found,MVLL,6339
AGNV,Just not found,AGNV,6358
INTET,Just not found,INTET,6370
ACE,Just not found,ACE,6384
MMGZ,Just not found,MMGZ,6385
BESK,Just not found,BESK,6393
ALNZ,Just not found,ALNZ,6394
ZAINKS,Just not found,ZAINKS,6398
J&KBK,Just not found,J&KBK,6409
BATASH,Just not found,BATASH,6415
SAGL,Just not found,SAGL,6418
SZGL,Just not found,SZGL,6419
96350,Just not found,96350,6432
2680,Just not found,2680,6436
2259,Just not found,2259,6437
RUHM,Just not found,RUHM,6441
ruhm,Just not found,ruhm,6443
ROPR,Just not found,ROPR,6462
ZBEE,Just not found,ZBEE,6481
94840,Just not found,94840,6496
MRU,Just not found,MRU,6500
CCRL,Just not found,CCRL,6502
UNAI,Just not found,UNAI,6507
STBK,Just not found,STBK,6512
STBKP,Just not found,STBKP,6520
bspbpa,Just not found,bspbpa,6524
64420,Just not found,64420,6525
SEOM,Just not found,SEOM,6526
KRKR,Just not found,KRKR,6527
KYRM,Just not found,KYRM,6531
36460,Just not found,36460,6533
33780,Just not found,33780,6548
3323,Just not found,3323,6559
INEM,Just not found,INEM,6560
ELZY,Just not found,ELZY,6565
LUIN,Just not found,LUIN,6568
32640,Just not found,32640,6589
LII1V,Just not found,LII1V,6591
BCSCB,Just not found,BCSCB,6596
IGBVL,Just not found,IGBVL,6599
IOLT,Just not found,IOLT,6610
36610,Just not found,36610,6630
MMV1,Just not found,MMV1,6639
MAHB,Just not found,MAHB,6651
FWIL,Just not found,FWIL,6667
EPCL/P,Just not found,EPCL/P,6669
EPCL,Just not found,EPCL,6670
34510,Just not found,34510,6685
AETOF,Just not found,AETOF,6698
WAET,Just not found,WAET,6699
MULM,Just not found,MULM,6705
76080,Just not found,76080,6753
SIFO,Just not found,SIFO,6755
35600,Just not found,35600,6760
JOTN,Just not found,JOTN,6764
49550,Just not found,49550,6766
NERT,Just not found,NERT,6785
4016,Just not found,4016,6788
40160,Just not found,40160,6789
OFDT,Just not found,OFDT,6800
GRGYO,Just not found,GRGYO,6816
41590,Just not found,41590,6827
32040,Just not found,32040,6837
SHMO,Just not found,SHMO,6838
PDEK,Just not found,PDEK,6843
PUT1,Just not found,PUT1,6846
COEC,Just not found,COEC,6850
TETE,Just not found,TETE,6853
2262,Just not found,2262,6881
PERH,Just not found,PERH,6883
2125Z,Just not found,2125Z,6887
PPC/B,Just not found,PPC/B,6892
ZONOP,Just not found,ZONOP,6905
PANU,Just not found,PANU,6907
2261,Just not found,2261,6922
HANF,Just not found,HANF,6927
SZVE,Just not found,SZVE,6935
szve,Just not found,szve,6936
3TV,Just not found,3TV,6943
IFAR,Just not found,IFAR,6951
SLUN,Just not found,SLUN,6955
LNU.LN,Just not found,LNU.LN,6984
77970,Just not found,77970,6990
66900,Just not found,66900,7023
78350,Just not found,78350,7028
73780,Just not found,73780,7037
MBF,Just not found,MBF,7039
84450,Just not found,84450,7054
4L6,Just not found,4L6,7066
JYL,Just not found,JYL,7081
MPOL,Just not found,MPOL,7087
92070,Just not found,92070,7091
VDOK,Just not found,VDOK,7094
vdok,Just not found,vdok,7096
JTRE,Just not found,JTRE,7097
512233,Just not found,512233,7098
ISOF,Just not found,ISOF,7099
ILCO1,Just not found,ILCO1,7102
0NZF,Just not found,0NZF,7108
ILCO5,Just not found,ILCO5,7110
MKSD,Just not found,MKSD,7112
111OZ,Just not found,111OZ,7128
21050,Just not found,21050,7142
1SN,Just not found,1SN,7147
OBX,Just not found,OBX,7149
2797,Just not found,2797,7151
27970,Just not found,27970,7152
SLS1V,Just not found,SLS1V,7157
JIP1V,Just not found,JIP1V,7158
SAG1V,Just not found,SAG1V,7159
13240,Just not found,13240,7178
EXISTA,Just not found,EXISTA,7180
URHC,Just not found,URHC,7188
urhc,Just not found,urhc,7190
TOPFN,Just not found,TOPFN,7207
